country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Czechia,2021,CZE,10530683.0,334729441747.0,1.958,0.186,96.629,4.968,5.42,90.938,4.903,5.698,8.636,0.272,0.195,9.176,0.289,0.207,51.406,4.882,110.777,10.519,0.331,150.04,12077.89,11769.758,9730.258,8.869,691.114,-203.431,1442.164,55.445,44290.191,1.393,0.055,0.005,19.045,1.808,10.409,10.37,-5.691,-0.54,12.581,1.195,6.74,0.64,22.437,2.131,0.164,1.729,466.406,0.117,0.262,0.219,0.343,0.333,0.696,0.449,1.212,0.047,0.273,-0.023,0.24,0.408,0.014,0.242,-0.122,0.195,0.396,0.393,0.001,0.005,0.006,0.0,109.205,109.611,14.148,14.641
Czechia,2022,CZE,10673216.0,342966849621.0,1.847,0.173,95.04,-1.59,-1.645,89.262,-1.676,-1.843,8.363,0.26,0.199,8.905,0.277,0.212,52.909,4.957,111.412,10.439,0.325,151.887,12172.93,11859.019,9783.167,8.912,706.919,-209.209,1464.928,57.116,42043.363,1.308,0.043,0.004,15.805,1.481,10.141,9.976,-5.778,-0.541,12.718,1.192,6.937,0.65,22.765,2.133,0.157,1.671,448.738,0.117,0.253,0.211,0.342,0.325,0.687,0.445,1.195,0.046,0.271,-0.023,0.239,0.407,0.011,0.204,-0.121,0.191,0.391,0.39,0.001,0.006,0.006,0.0,106.471,108.24,16.373,17.227
Czechia,2023,CZE,10809722.0,,1.483,0.137,83.232,-11.807,-12.424,77.497,-11.765,-13.181,7.169,,0.188,7.7,,0.202,43.042,3.982,100.025,9.253,,153.37,12256.162,11936.516,9826.209,8.949,720.978,-214.945,1488.237,58.418,38043.734,,0.037,0.003,14.059,1.301,8.871,8.607,-5.736,-0.531,12.526,1.159,6.581,0.609,23.309,2.156,0.12,1.303,411.242,0.096,0.218,0.181,0.275,0.318,0.677,0.441,1.178,0.045,0.268,-0.024,0.238,0.404,0.009,0.18,-0.121,0.19,0.307,0.386,0.001,0.006,0.006,0.0,93.041,95.895,16.793,20.176
Czechia,2024,CZE,10735857.0,,1.483,0.138,75.623,-7.609,-9.142,69.942,-7.555,-9.748,6.515,,0.178,7.044,,0.193,34.352,3.2,,,,154.853,12331.785,12006.457,9860.561,8.986,735.019,-220.626,1512.645,59.721,36589.773,,0.037,0.003,14.041,1.308,8.242,7.866,-5.681,-0.529,12.622,1.176,6.691,0.623,24.407,2.273,0.121,1.303,392.823,0.101,0.196,0.162,0.217,0.312,0.667,0.436,1.16,0.045,0.266,-0.024,0.237,0.402,0.009,0.175,-0.124,0.196,0.307,0.382,0.001,0.006,0.006,0.0,84.448,88.489,,
Denmark,2020,DNK,5831529.0,275058379473.0,1.227,0.21,28.3,-2.651,-8.564,29.839,-2.776,-8.512,5.117,0.108,0.155,4.853,0.103,0.147,3.166,0.543,48.353,8.292,0.176,78.791,4083.763,5449.824,1842.23,18.624,273.054,1367.545,1856.076,14.988,32952.969,0.699,0.126,0.022,4.799,0.823,5.664,7.967,1.54,0.264,10.602,1.818,5.238,0.898,18.579,3.186,0.069,0.402,192.166,0.076,0.08,0.075,0.022,0.181,0.24,0.211,0.234,0.101,0.111,0.154,0.315,0.114,0.032,0.064,0.034,0.17,0.097,0.189,0.0,0.002,0.003,0.0,46.462,33.028,20.053,70.86
Denmark,2021,DNK,5856774.0,288414406840.0,1.21,0.207,29.604,1.304,4.607,31.956,2.116,7.092,5.456,0.111,0.167,5.055,0.103,0.154,4.207,0.718,53.611,9.154,0.186,80.001,4113.367,5481.779,1846.437,18.736,277.862,1369.897,1874.903,15.428,32756.869,0.665,0.111,0.019,4.808,0.821,5.887,8.216,2.352,0.402,10.62,1.813,5.015,0.856,18.827,3.215,0.075,0.44,191.85,0.073,0.08,0.077,0.028,0.177,0.237,0.209,0.23,0.099,0.11,0.153,0.312,0.114,0.028,0.061,0.051,0.164,0.101,0.188,0.0,0.002,0.003,0.0,48.119,34.477,24.008,81.098
Denmark,2022,DNK,5902901.0,299429011832.0,1.073,0.182,29.094,-0.509,-1.72,31.074,-0.882,-2.759,5.264,0.104,0.16,4.929,0.097,0.15,4.133,0.7,52.622,8.915,0.176,81.074,4142.461,5512.854,1850.57,18.847,281.33,1371.876,1894.772,15.868,32903.926,0.649,0.111,0.019,3.468,0.587,5.746,7.926,1.98,0.335,10.226,1.732,4.875,0.826,19.869,3.366,0.075,0.44,194.229,0.068,0.078,0.073,0.027,0.174,0.234,0.207,0.226,0.098,0.108,0.153,0.309,0.113,0.028,0.045,0.041,0.167,0.103,0.186,0.0,0.002,0.003,0.0,46.789,33.921,23.528,80.868
Denmark,2023,DNK,5948134.0,,0.982,0.165,28.831,-0.263,-0.904,30.768,-0.306,-0.985,5.173,,0.158,4.847,,0.148,2.633,0.443,49.471,8.317,,82.056,4171.292,5543.622,1853.203,18.958,284.856,1373.813,1915.911,16.308,32816.66,,0.111,0.019,3.526,0.593,5.679,7.842,1.937,0.326,10.34,1.738,4.783,0.804,21.139,3.554,0.074,0.44,195.198,0.064,0.076,0.072,0.017,0.17,0.23,0.205,0.222,0.096,0.106,0.152,0.306,0.113,0.027,0.045,0.041,0.172,0.104,0.184,0.0,0.002,0.003,0.0,46.642,33.78,20.64,71.59
Denmark,2024,DNK,5977417.0,,0.982,0.164,28.369,-0.462,-1.603,30.325,-0.443,-1.44,5.073,,0.155,4.746,,0.145,1.803,0.302,,,,83.037,4199.661,5573.946,1855.006,19.069,288.412,1375.769,1937.388,16.748,32832.465,,0.111,0.019,3.556,0.595,5.573,7.685,1.956,0.327,10.216,1.709,4.691,0.785,21.477,3.593,0.074,0.44,196.253,0.067,0.073,0.07,0.011,0.167,0.227,0.203,0.218,0.095,0.104,0.152,0.304,0.113,0.027,0.044,0.043,0.172,0.104,0.183,0.0,0.002,0.003,0.0,45.939,33.309,,
Finland,2020,FIN,5529616.0,214988893865.0,0.57,0.103,37.72,-4.724,-11.13,66.031,-4.659,-6.591,11.941,0.307,0.21,6.821,0.175,0.12,11.853,2.143,51.133,9.247,0.238,47.995,3189.048,6501.332,1245.924,2.616,237.193,3489.006,1627.73,27.59,56776.078,1.46,0.076,0.014,4.382,0.792,8.234,15.492,28.311,5.12,7.145,1.292,7.283,1.317,20.261,3.664,0.105,0.579,313.95,0.035,0.107,0.166,0.083,0.11,0.188,0.252,0.158,0.014,0.097,0.393,0.276,0.21,0.019,0.058,0.627,0.185,0.14,0.234,0.0,0.003,0.004,0.0,85.664,45.531,13.413,35.56
Finland,2021,FIN,5541069.0,221538476826.0,0.623,0.112,37.82,0.1,0.265,68.314,2.283,3.458,12.329,0.308,0.213,6.825,0.171,0.118,12.711,2.294,54.797,9.889,0.247,48.617,3226.867,6569.646,1258.635,2.683,241.549,3519.5,1647.198,28.184,57854.73,1.447,0.068,0.012,4.356,0.786,8.246,16.22,30.494,5.503,7.258,1.31,7.198,1.299,19.468,3.513,0.107,0.595,320.577,0.037,0.103,0.165,0.085,0.108,0.186,0.25,0.157,0.014,0.095,0.394,0.274,0.207,0.017,0.055,0.655,0.169,0.136,0.233,0.0,0.003,0.004,0.0,89.874,45.69,16.977,44.889
Finland,2022,FIN,5569300.0,226154847456.0,0.597,0.107,36.337,-1.483,-3.921,68.502,0.188,0.275,12.3,0.303,0.214,6.525,0.161,0.113,12.579,2.259,52.765,9.474,0.233,49.214,3263.204,6638.148,1271.214,2.748,243.959,3551.665,1667.322,28.746,57499.422,1.416,0.065,0.012,2.41,0.433,7.773,16.167,32.165,5.775,6.434,1.155,6.883,1.236,20.124,3.613,0.101,0.562,320.232,0.038,0.097,0.162,0.081,0.105,0.184,0.249,0.155,0.014,0.094,0.396,0.272,0.205,0.016,0.031,0.672,0.169,0.131,0.231,0.0,0.003,0.004,0.0,90.037,43.29,16.428,45.209
Finland,2023,FIN,5601185.0,,0.445,0.079,31.799,-4.538,-12.489,64.728,-3.775,-5.51,11.556,,0.194,5.677,,0.095,9.391,1.677,47.462,8.474,,49.659,3295.003,6702.876,1280.605,2.835,246.534,3584.594,1686.129,29.242,59655.676,,0.086,0.015,2.575,0.46,6.771,15.68,32.929,5.879,5.823,1.04,6.598,1.178,18.806,3.358,0.088,0.496,334.142,0.029,0.083,0.151,0.06,0.103,0.182,0.247,0.154,0.014,0.092,0.397,0.27,0.202,0.021,0.033,0.694,0.153,0.117,0.23,0.0,0.003,0.004,0.0,87.827,37.925,15.663,49.256
Finland,2024,FIN,5617311.0,,0.445,0.079,29.775,-2.024,-6.365,63.028,-1.7,-2.626,11.22,,0.188,5.301,,0.089,7.784,1.386,,,,50.104,3324.779,6765.904,1288.389,2.92,249.313,3617.846,1704.317,29.734,59564.754,,0.086,0.015,2.779,0.495,6.346,15.658,33.253,5.92,5.699,1.015,6.373,1.134,18.189,3.238,0.088,0.492,334.594,0.03,0.077,0.146,0.049,0.101,0.18,0.246,0.152,0.014,0.09,0.399,0.267,0.2,0.021,0.035,0.725,0.146,0.116,0.228,0.0,0.003,0.004,0.0,87.955,35.647,,
France,2020,FRA,65905273.0,2438594133224.0,6.197,0.094,281.515,-34.805,-11.003,279.464,-48.179,-14.705,4.24,0.115,0.114,4.272,0.115,0.115,23.854,0.362,398.958,6.054,0.164,700.467,38910.574,34713.934,19084.66,170.354,3583.876,-3875.836,15233.441,137.775,37087.555,1.002,2.136,0.032,80.065,1.215,4.766,5.52,-2.052,-0.031,68.697,1.042,36.383,0.552,165.543,2.512,0.056,3.719,2444.265,0.382,0.801,0.704,0.167,1.613,2.292,1.345,2.422,0.92,1.462,-0.436,2.583,1.047,0.534,1.065,-0.045,1.514,0.898,1.354,0.003,0.017,0.021,0.002,363.796,314.11,117.442,41.718
France,2021,FRA,66083547.0,2604822841790.0,6.495,0.098,307.272,25.756,9.149,298.764,19.301,6.906,4.521,0.115,0.115,4.65,0.118,0.118,30.472,0.461,440.193,6.661,0.169,706.961,39217.848,35012.699,19115.133,172.062,3669.278,-3884.344,15412.562,141.849,39307.219,0.997,1.708,0.026,85.402,1.292,5.148,5.865,-8.508,-0.129,67.554,1.022,36.343,0.55,179.122,2.711,0.062,4.074,2597.561,0.39,0.833,0.719,0.204,1.567,2.261,1.335,2.381,0.91,1.45,-0.435,2.563,1.044,0.425,1.084,-0.183,1.556,0.933,1.341,0.003,0.017,0.022,0.002,387.602,340.204,132.921,43.259
France,2022,FRA,66277412.0,2671568767031.0,6.397,0.097,295.304,-11.968,-3.895,285.192,-13.573,-4.543,4.303,0.107,0.124,4.456,0.111,0.128,26.199,0.395,437.449,6.6,0.164,713.358,39513.148,35297.891,19141.33,173.775,3746.934,-3894.456,15591.818,145.934,34796.047,0.863,1.712,0.026,77.656,1.172,4.938,5.58,-10.112,-0.153,65.721,0.992,34.064,0.514,179.255,2.705,0.062,4.085,2306.192,0.405,0.787,0.674,0.17,1.528,2.229,1.324,2.339,0.9,1.437,-0.434,2.542,1.041,0.429,1.001,-0.211,1.504,0.956,1.327,0.003,0.017,0.022,0.002,369.803,327.29,142.145,48.135
France,2023,FRA,66438828.0,,5.675,0.085,270.263,-25.041,-8.48,258.944,-26.248,-9.204,3.897,,0.108,4.068,,0.112,19.542,0.294,407.365,6.131,,719.033,39783.41,35556.832,19160.873,175.446,3814.091,-3905.775,15764.047,149.922,36221.496,,1.672,0.025,67.157,1.011,4.533,5.195,-11.319,-0.17,64.891,0.977,33.543,0.505,172.229,2.592,0.06,3.988,2406.514,0.368,0.709,0.604,0.125,1.491,2.197,1.313,2.297,0.889,1.42,-0.433,2.52,1.038,0.406,0.861,-0.239,1.403,0.938,1.314,0.003,0.017,0.022,0.002,345.135,301.16,137.102,50.729
France,2024,FRA,66548532.0,,5.675,0.085,264.156,-6.107,-2.26,251.925,-7.018,-2.71,3.786,,0.1,3.969,,0.105,19.469,0.293,,,,724.708,40047.566,35808.758,19180.344,177.106,3876.789,-3918.006,15934.739,153.882,37865.609,,1.66,0.025,62.699,0.942,4.422,5.077,-12.23,-0.184,62.809,0.944,32.581,0.49,170.692,2.565,0.06,3.96,2519.901,0.385,0.684,0.583,0.123,1.458,2.166,1.301,2.257,0.879,1.402,-0.432,2.498,1.035,0.399,0.783,-0.267,1.369,0.933,1.3,0.003,0.017,0.022,0.002,337.876,294.26,,
Germany,2020,DEU,83628711.0,3742721113842.0,13.357,0.16,647.177,-61.472,-8.675,642.342,-60.251,-8.576,7.681,0.172,0.184,7.739,0.173,0.185,198.53,2.374,777.624,9.299,0.208,1193.373,92623.75,92413.828,64412.121,91.775,7016.906,29.591,19621.961,287.612,41838.684,0.935,1.821,0.022,170.963,2.044,8.201,8.894,-4.834,-0.058,61.045,0.73,36.143,0.432,254.465,3.043,0.096,8.039,3498.915,0.822,1.841,1.619,1.392,2.747,5.455,3.58,8.174,0.496,2.863,0.003,3.327,2.186,0.455,2.273,-0.107,2.328,1.942,3.04,0.004,0.042,0.048,0.002,743.816,685.843,130.447,20.156
Germany,2021,DEU,83697080.0,3841041747482.0,13.64,0.163,677.998,30.821,4.762,674.288,31.945,4.973,8.056,0.176,0.187,8.101,0.177,0.188,232.139,2.774,834.074,9.965,0.217,1207.013,93301.742,93088.109,64644.258,93.647,7198.216,25.881,19862.484,296.125,42994.242,0.937,1.872,0.022,181.31,2.166,8.574,9.257,-3.71,-0.044,60.245,0.72,35.44,0.423,240.525,2.874,0.102,8.513,3598.492,0.818,1.839,1.624,1.551,2.676,5.378,3.549,8.051,0.495,2.845,0.003,3.303,2.179,0.465,2.301,-0.08,2.089,1.95,3.011,0.004,0.042,0.048,0.002,774.763,717.596,156.076,23.02
Germany,2022,DEU,84086227.0,3909612753939.0,12.538,0.149,667.843,-10.155,-1.498,663.151,-11.137,-1.652,7.887,0.17,0.192,7.942,0.171,0.193,239.428,2.847,838.813,9.976,0.215,1219.551,93969.586,93751.266,64883.688,95.481,7356.901,21.189,20109.502,304.466,41094.125,0.884,1.834,0.022,158.685,1.887,8.399,9.036,-4.692,-0.056,58.913,0.701,34.338,0.408,247.017,2.938,0.099,8.341,3455.45,0.794,1.78,1.567,1.55,2.613,5.302,3.517,7.928,0.494,2.821,0.002,3.279,2.172,0.46,2.045,-0.098,2.073,1.952,2.982,0.004,0.043,0.049,0.002,759.795,706.251,170.97,25.6
Germany,2023,DEU,84548233.0,,10.765,0.127,593.766,-74.077,-11.092,588.897,-74.254,-11.197,6.965,,0.185,7.023,,0.187,186.157,2.202,768.481,9.089,,1230.316,94563.352,94340.164,65069.848,97.18,7507.243,16.319,20346.988,311.783,37598.492,,1.699,0.02,150.342,1.778,7.45,8.085,-4.869,-0.058,57.44,0.679,33.064,0.391,237.487,2.809,0.087,7.317,3178.886,0.699,1.559,1.375,1.191,2.551,5.223,3.483,7.802,0.493,2.795,0.002,3.253,2.158,0.413,1.927,-0.103,1.934,1.722,2.951,0.004,0.043,0.049,0.002,683.559,629.899,174.715,29.425
Germany,2024,DEU,84552234.0,,10.283,0.122,572.319,-21.447,-3.612,567.339,-21.558,-3.661,6.71,,0.178,6.769,,0.179,162.639,1.924,,,,1240.599,95135.68,94907.508,65232.484,98.83,7664.921,11.339,20579.947,318.893,37792.512,,1.651,0.02,157.679,1.865,7.196,7.802,-4.98,-0.059,56.136,0.664,32.159,0.38,232.958,2.755,0.084,7.11,3195.441,0.698,1.483,1.314,1.029,2.496,5.145,3.449,7.676,0.491,2.771,0.001,3.226,2.145,0.397,1.969,-0.109,1.868,1.675,2.921,0.003,0.043,0.049,0.002,659.655,608.397,,
Greece,2020,GRC,10699370.0,229777821500.0,2.978,0.278,55.577,-10.159,-15.455,36.835,-4.696,-11.308,3.443,0.16,0.133,5.194,0.242,0.201,10.147,0.948,68.584,6.41,0.298,279.617,4076.292,5146.804,1626.854,0.412,156.586,1446.31,1987.891,24.932,25885.273,1.205,0.005,0.0,11.043,1.032,5.936,5.784,-18.742,-1.752,11.023,1.03,4.328,0.405,31.009,2.898,0.037,0.395,276.956,0.183,0.158,0.093,0.071,0.644,0.24,0.199,0.206,0.002,0.064,0.163,0.337,0.19,0.001,0.147,-0.415,0.284,0.095,0.186,0.001,0.002,0.003,0.0,61.884,63.513,13.007,23.403
Greece,2021,GRC,10579561.0,249158215293.0,3.167,0.299,57.528,1.951,3.51,38.37,1.535,4.167,3.627,0.154,0.127,5.438,0.231,0.19,9.259,0.875,71.574,6.765,0.287,282.784,4133.82,5185.174,1636.113,0.416,168.95,1427.152,2020.168,25.39,28596.289,1.214,0.004,0.0,12.363,1.169,6.184,5.997,-19.158,-1.811,10.904,1.031,4.441,0.42,32.277,3.051,0.043,0.458,302.536,0.19,0.156,0.092,0.062,0.627,0.238,0.198,0.204,0.002,0.067,0.16,0.336,0.187,0.001,0.157,-0.411,0.28,0.105,0.185,0.001,0.002,0.003,0.0,63.444,65.424,14.047,24.417
Greece,2022,GRC,10412481.0,263892672733.0,2.905,0.279,57.609,0.081,0.141,37.547,-0.823,-2.145,3.606,0.142,0.119,5.533,0.218,0.183,8.767,0.842,71.335,6.851,0.27,285.689,4191.429,5222.721,1644.88,0.418,179.168,1407.09,2055.442,25.832,30188.217,1.191,0.002,0.0,10.219,0.981,6.286,5.987,-20.062,-1.927,10.601,1.018,4.126,0.396,35.274,3.388,0.042,0.442,314.334,0.184,0.154,0.089,0.057,0.612,0.236,0.196,0.201,0.002,0.069,0.157,0.335,0.184,0.001,0.132,-0.419,0.296,0.103,0.183,0.001,0.002,0.003,0.0,62.344,65.452,13.726,23.827
